sim_time,n_batch,hard_ceiling,pool_depth,pooled_total,slots_occupied,slots_empty,slots_dead,slot_size_mb,slipway_multiplier,tasks_running,tasks_completed_cum,ooms_cum,cpu_util,mem_util,mem_avail_mb,beta,lambda_speed,sigma_volume,gamma_variance,merged_factor,alpha_mem,avg_task_latency_ms,p50_latency_ms,p99_latency_ms,theta_confidence,cold_start_phase,balance_metric,prefetch_hit_rate,defrag_merges,regression_r2
101.4,4,6,423,823,3,1,0,633.0181818181818,1.5,3,397,0,0.020833333333333332,0.06410766226372933,3833.4150153677647,0.5,1.0,1.0,0.55,0.7925244622331875,0.5,28549.630694507236,21670.200130640944,83453.33463181669,0.983234451428343,stable,1.0,0.0,0,0.9441148380944768
101.60000000000001,4,6,424,825,4,0,0,633.0181818181818,1.5,4,397,0,0.041666666666666664,0.14158751156183325,3516.057552642731,0.5,1.0,1.0,0.55,0.7925244622331875,0.5,28549.630694507236,21670.200130640944,83453.33463181669,0.983234451428343,stable,1.0,0.0,0,0.9441148380944768
101.8,4,6,424,825,4,0,0,633.0181818181818,1.5,4,397,0,0.041666666666666664,0.14158751156183325,3516.057552642731,0.5,1.0,1.0,0.55,0.7925244622331875,0.5,28549.630694507236,21670.200130640944,83453.33463181669,0.983234451428343,stable,1.0,0.0,0,0.9441148380944768
102.0,4,6,427,828,4,0,0,633.0181818181818,1.5,4,397,0,0.041666666666666664,0.14158751156183325,3516.057552642731,0.5,1.0,1.0,0.55,0.7925244622331875,0.5,28549.630694507236,21670.200130640944,83453.33463181669,0.983234451428343,stable,1.0,0.0,0,0.9441148380944768
102.2,4,6,428,829,4,0,0,633.0181818181818,1.5,4,397,0,0.041666666666666664,0.14158751156183325,3516.057552642731,0.5,1.0,1.0,0.55,0.7925244622331875,0.5,28549.630694507236,21670.200130640944,83453.33463181669,0.983234451428343,stable,1.0,0.0,0,0.9441148380944768
102.4,4,6,430,831,4,0,0,633.0181818181818,1.5,4,397,0,0.041666666666666664,0.14158751156183325,3516.057552642731,0.5,1.0,1.0,0.55,0.7925244622331875,0.5,28549.630694507236,21670.200130640944,83453.33463181669,0.983234451428343,stable,1.0,0.0,0,0.9441148380944768
102.60000000000001,4,6,432,833,4,0,0,633.0181818181818,1.5,4,397,0,0.041666666666666664,0.14158751156183325,3516.057552642731,0.5,1.0,1.0,0.55,0.7925244622331875,0.5,28549.630694507236,21670.200130640944,83453.33463181669,0.983234451428343,stable,1.0,0.0,0,0.9441148380944768
102.8,4,6,435,836,4,0,0,633.0181818181818,1.5,4,397,0,0.041666666666666664,0.14158751156183325,3516.057552642731,0.5,1.0,1.0,0.55,0.7925244622331875,0.5,28549.630694507236,21670.200130640944,83453.33463181669,0.983234451428343,stable,1.0,0.0,0,0.9441148380944768
103.0,4,6,437,838,4,0,0,633.0181818181818,1.5,4,397,0,0.041666666666666664,0.14158751156183325,3516.057552642731,0.5,1.0,1.0,0.55,0.7925244622331875,0.5,28549.630694507236,21670.200130640944,83453.33463181669,0.983234451428343,stable,1.0,0.0,0,0.9441148380944768
103.2,4,6,439,840,4,0,0,633.0181818181818,1.5,4,397,0,0.041666666666666664,0.14158751156183325,3516.057552642731,0.5,1.0,1.0,0.55,0.7925244622331875,0.5,28549.630694507236,21670.200130640944,83453.33463181669,0.983234451428343,stable,1.0,0.0,0,0.9441148380944768
